# A data file made by Paul
3 3
points[20][20] = 
0.500000 0.000000 0.000000
0.475528 0.000000 0.078217
0.404508 0.000000 0.154508
0.293893 0.000000 0.226995
0.154508 0.000000 0.293893
0.000000 0.000000 0.353553
-0.154509 0.000000 0.404509
-0.293893 0.000000 0.445503
-0.404509 0.000000 0.475528
-0.475528 0.000000 0.493844
-0.500000 0.000000 0.500000
-0.475528 0.000000 0.493844
-0.404508 0.000000 0.475528
-0.293893 0.000000 0.445503
-0.154508 0.000000 0.404508
0.000000 0.000000 0.353553
0.154509 0.000000 0.293893
0.293893 0.000000 0.226995
0.404509 0.000000 0.154508
0.475528 0.000000 0.078217

0.475528 0.154508 0.000000
0.452254 0.146946 0.078217
0.384710 0.125000 0.154508
0.279508 0.090818 0.226995
0.146946 0.047746 0.293893
0.000000 0.000000 0.353553
-0.146946 -0.047746 0.404509
-0.279509 -0.090818 0.445503
-0.384710 -0.125000 0.475528
-0.452254 -0.146946 0.493844
-0.475528 -0.154508 0.500000
-0.452254 -0.146946 0.493844
-0.384710 -0.125000 0.475528
-0.279508 -0.090818 0.445503
-0.146946 -0.047746 0.404508
0.000000 0.000000 0.353553
0.146946 0.047746 0.293893
0.279509 0.090818 0.226995
0.384710 0.125000 0.154508
0.452254 0.146946 0.078217

0.404508 0.293893 0.000000
0.384710 0.279509 0.078217
0.327254 0.237764 0.154508
0.237764 0.172746 0.226995
0.125000 0.090818 0.293893
0.000000 0.000000 0.353553
-0.125000 -0.090818 0.404509
-0.237764 -0.172746 0.445503
-0.327254 -0.237764 0.475528
-0.384710 -0.279509 0.493844
-0.404508 -0.293893 0.500000
-0.384710 -0.279508 0.493844
-0.327254 -0.237764 0.475528
-0.237764 -0.172746 0.445503
-0.125000 -0.090818 0.404508
0.000000 0.000000 0.353553
0.125000 0.090818 0.293893
0.237764 0.172746 0.226995
0.327254 0.237764 0.154508
0.384710 0.279509 0.078217

0.293893 0.404509 0.000000
0.279508 0.384710 0.078217
0.237764 0.327254 0.154508
0.172746 0.237764 0.226995
0.090818 0.125000 0.293893
0.000000 0.000000 0.353553
-0.090818 -0.125000 0.404509
-0.172746 -0.237764 0.445503
-0.237764 -0.327254 0.475528
-0.279508 -0.384710 0.493844
-0.293893 -0.404509 0.500000
-0.279508 -0.384710 0.493844
-0.237764 -0.327254 0.475528
-0.172746 -0.237764 0.445503
-0.090818 -0.125000 0.404508
0.000000 0.000000 0.353553
0.090818 0.125000 0.293893
0.172746 0.237764 0.226995
0.237764 0.327254 0.154508
0.279508 0.384710 0.078217

0.154508 0.475528 0.000000
0.146946 0.452254 0.078217
0.125000 0.384710 0.154508
0.090818 0.279508 0.226995
0.047746 0.146946 0.293893
0.000000 0.000000 0.353553
-0.047746 -0.146946 0.404509
-0.090818 -0.279509 0.445503
-0.125000 -0.384710 0.475528
-0.146946 -0.452254 0.493844
-0.154508 -0.475528 0.500000
-0.146946 -0.452254 0.493844
-0.125000 -0.384710 0.475528
-0.090818 -0.279508 0.445503
-0.047746 -0.146946 0.404508
0.000000 0.000000 0.353553
0.047746 0.146946 0.293893
0.090818 0.279509 0.226995
0.125000 0.384710 0.154508
0.146946 0.452254 0.078217

0.000000 0.500000 0.000000
0.000000 0.475528 0.078217
0.000000 0.404508 0.154508
0.000000 0.293893 0.226995
0.000000 0.154508 0.293893
0.000000 0.000000 0.353553
0.000000 -0.154509 0.404509
0.000000 -0.293893 0.445503
0.000000 -0.404509 0.475528
0.000000 -0.475528 0.493844
0.000000 -0.500000 0.500000
0.000000 -0.475528 0.493844
0.000000 -0.404508 0.475528
0.000000 -0.293893 0.445503
0.000000 -0.154508 0.404508
0.000000 0.000000 0.353553
0.000000 0.154509 0.293893
0.000000 0.293893 0.226995
0.000000 0.404509 0.154508
0.000000 0.475528 0.078217

-0.154509 0.475528 0.000000
-0.146946 0.452254 0.078217
-0.125000 0.384710 0.154508
-0.090818 0.279508 0.226995
-0.047746 0.146946 0.293893
0.000000 0.000000 0.353553
0.047746 -0.146946 0.404509
0.090818 -0.279509 0.445503
0.125000 -0.384710 0.475528
0.146946 -0.452254 0.493844
0.154509 -0.475528 0.500000
0.146946 -0.452254 0.493844
0.125000 -0.384710 0.475528
0.090818 -0.279508 0.445503
0.047746 -0.146946 0.404508
0.000000 0.000000 0.353553
-0.047746 0.146946 0.293893
-0.090818 0.279509 0.226995
-0.125000 0.384710 0.154508
-0.146946 0.452254 0.078217

-0.293893 0.404508 0.000000
-0.279509 0.384710 0.078217
-0.237764 0.327254 0.154508
-0.172746 0.237764 0.226995
-0.090818 0.125000 0.293893
0.000000 0.000000 0.353553
0.090818 -0.125000 0.404509
0.172746 -0.237764 0.445503
0.237764 -0.327254 0.475528
0.279509 -0.384710 0.493844
0.293893 -0.404508 0.500000
0.279509 -0.384710 0.493844
0.237764 -0.327254 0.475528
0.172746 -0.237764 0.445503
0.090818 -0.125000 0.404508
0.000000 0.000000 0.353553
-0.090818 0.125000 0.293893
-0.172746 0.237764 0.226995
-0.237764 0.327254 0.154508
-0.279509 0.384710 0.078217

-0.404509 0.293893 0.000000
-0.384710 0.279508 0.078217
-0.327254 0.237764 0.154508
-0.237764 0.172746 0.226995
-0.125000 0.090818 0.293893
0.000000 0.000000 0.353553
0.125000 -0.090818 0.404509
0.237764 -0.172746 0.445503
0.327254 -0.237764 0.475528
0.384710 -0.279508 0.493844
0.404509 -0.293893 0.500000
0.384710 -0.279508 0.493844
0.327254 -0.237764 0.475528
0.237764 -0.172746 0.445503
0.125000 -0.090818 0.404508
0.000000 0.000000 0.353553
-0.125000 0.090818 0.293893
-0.237764 0.172746 0.226995
-0.327254 0.237764 0.154508
-0.384710 0.279508 0.078217

-0.475528 0.154508 0.000000
-0.452254 0.146946 0.078217
-0.384710 0.125000 0.154508
-0.279508 0.090818 0.226995
-0.146946 0.047746 0.293893
0.000000 0.000000 0.353553
0.146946 -0.047746 0.404509
0.279509 -0.090818 0.445503
0.384710 -0.125000 0.475528
0.452254 -0.146946 0.493844
0.475528 -0.154508 0.500000
0.452254 -0.146946 0.493844
0.384710 -0.125000 0.475528
0.279508 -0.090818 0.445503
0.146946 -0.047746 0.404508
0.000000 0.000000 0.353553
-0.146946 0.047746 0.293893
-0.279509 0.090818 0.226995
-0.384710 0.125000 0.154508
-0.452254 0.146946 0.078217

-0.500000 0.000000 0.000000
-0.475528 0.000000 0.078217
-0.404508 0.000000 0.154508
-0.293893 0.000000 0.226995
-0.154508 0.000000 0.293893
0.000000 0.000000 0.353553
0.154509 0.000000 0.404509
0.293893 0.000000 0.445503
0.404509 0.000000 0.475528
0.475528 0.000000 0.493844
0.500000 0.000000 0.500000
0.475528 0.000000 0.493844
0.404508 0.000000 0.475528
0.293893 0.000000 0.445503
0.154508 0.000000 0.404508
0.000000 0.000000 0.353553
-0.154509 0.000000 0.293893
-0.293893 0.000000 0.226995
-0.404509 0.000000 0.154508
-0.475528 0.000000 0.078217

-0.475528 -0.154509 0.000000
-0.452254 -0.146946 0.078217
-0.384710 -0.125000 0.154508
-0.279508 -0.090818 0.226995
-0.146946 -0.047746 0.293893
0.000000 0.000000 0.353553
0.146946 0.047746 0.404509
0.279509 0.090818 0.445503
0.384710 0.125000 0.475528
0.452254 0.146946 0.493844
0.475528 0.154509 0.500000
0.452254 0.146946 0.493844
0.384710 0.125000 0.475528
0.279508 0.090818 0.445503
0.146946 0.047746 0.404508
0.000000 0.000000 0.353553
