3 3
points[25][25] = 
0.500000 0.000000 0.000000
0.482963 0.129410 0.000000
0.433013 0.250000 0.000000
0.353553 0.353553 0.000000
0.250000 0.433013 0.000000
0.129410 0.482963 0.000000
0.000000 0.500000 0.000000
-0.129410 0.482963 0.000000
-0.250000 0.433013 0.000000
-0.353553 0.353553 0.000000
-0.433013 0.250000 0.000000
-0.482963 0.129410 0.000000
-0.500000 0.000000 0.000000
-0.482963 -0.129410 0.000000
-0.433013 -0.250000 0.000000
-0.353553 -0.353553 0.000000
-0.250000 -0.433013 0.000000
-0.129410 -0.482963 0.000000
0.000000 -0.500000 0.000000
0.129410 -0.482963 0.000000
0.250000 -0.433013 0.000000
0.353553 -0.353553 0.000000
0.433013 -0.250000 0.000000
0.482963 -0.129410 0.000000
0.500000 0.000000 0.000000
0.500000 0.000000 0.130526
0.482963 0.129410 0.130526
0.433013 0.250000 0.130526
0.353553 0.353553 0.130526
0.250000 0.433013 0.130526
0.129410 0.482963 0.130526
0.000000 0.500000 0.130526
-0.129410 0.482963 0.130526
-0.250000 0.433013 0.130526
-0.353553 0.353553 0.130526
-0.433013 0.250000 0.130526
-0.482963 0.129410 0.130526
-0.500000 0.000000 0.130526
-0.482963 -0.129410 0.130526
-0.433013 -0.250000 0.130526
-0.353553 -0.353553 0.130526
-0.250000 -0.433013 0.130526
-0.129410 -0.482963 0.130526
0.000000 -0.500000 0.130526
0.129410 -0.482963 0.130526
0.250000 -0.433013 0.130526
0.353553 -0.353553 0.130526
0.433013 -0.250000 0.130526
0.482963 -0.129410 0.130526
0.500000 0.000000 0.130526
0.541667 0.000000 0.258819
0.523210 0.140194 0.258819
0.469097 0.270833 0.258819
0.383016 0.383016 0.258819
0.270833 0.469097 0.258819
0.140194 0.523210 0.258819
0.000000 0.541667 0.258819
-0.140194 0.523210 0.258819
-0.270833 0.469097 0.258819
-0.383016 0.383016 0.258819
-0.469097 0.270833 0.258819
-0.523210 0.140194 0.258819
-0.541667 0.000000 0.258819
-0.523210 -0.140194 0.258819
-0.469097 -0.270833 0.258819
-0.383016 -0.383016 0.258819
-0.270833 -0.469097 0.258819
-0.140194 -0.523210 0.258819
0.000000 -0.541667 0.258819
0.140194 -0.523210 0.258819
0.270833 -0.469097 0.258819
0.383016 -0.383016 0.258819
0.469097 -0.270833 0.258819
0.523210 -0.140194 0.258819
0.541667 0.000000 0.258819
0.541667 0.000000 0.382683
0.523210 0.140194 0.382683
0.469097 0.270833 0.382683
0.383016 0.383016 0.382683
0.270833 0.469097 0.382683
0.140194 0.523210 0.382683
0.000000 0.541667 0.382683
-0.140194 0.523210 0.382683
-0.270833 0.469097 0.382683
-0.383016 0.383016 0.382683
-0.469097 0.270833 0.382683
-0.523210 0.140194 0.382683
-0.541667 0.000000 0.382683
-0.523210 -0.140194 0.382683
-0.469097 -0.270833 0.382683
-0.383016 -0.383016 0.382683
-0.270833 -0.469097 0.382683
-0.140194 -0.523210 0.382683
0.000000 -0.541667 0.382683
0.140194 -0.523210 0.382683
0.270833 -0.469097 0.382683
0.383016 -0.383016 0.382683
0.469097 -0.270833 0.382683
0.523210 -0.140194 0.382683
0.541667 0.000000 0.382683
0.583333 0.000000 0.500000
0.563457 0.150978 0.500000
0.505181 0.291667 0.500000
0.412479 0.412479 0.500000
0.291667 0.505181 0.500000
0.150978 0.563457 0.500000
0.000000 0.583333 0.500000
-0.150978 0.563457 0.500000
-0.291667 0.505181 0.500000
-0.412479 0.412479 0.500000
-0.505181 0.291667 0.500000
-0.563457 0.150978 0.500000
-0.583333 0.000000 0.500000
-0.563457 -0.150978 0.500000
-0.505181 -0.291667 0.500000
-0.412479 -0.412479 0.500000
-0.291667 -0.505181 0.500000
-0.150978 -0.563457 0.500000
0.000000 -0.583333 0.500000
0.150978 -0.563457 0.500000
0.291667 -0.505181 0.500000
0.412479 -0.412479 0.500000
0.505181 -0.291667 0.500000
0.563457 -0.150978 0.500000
0.583333 0.000000 0.500000
0.583333 0.000000 0.608761
0.563457 0.150978 0.608761
0.505181 0.291667 0.608761
0.412479 0.412479 0.608761
0.291667 0.505181 0.608761
0.150978 0.563457 0.608761
0.000000 0.583333 0.608761
-0.150978 0.563457 0.608761
-0.291667 0.505181 0.608761
-0.412479 0.412479 0.608761
-0.505181 0.291667 0.608761
-0.563457 0.150978 0.608761
-0.583333 0.000000 0.608761
-0.563457 -0.150978 0.608761
-0.505181 -0.291667 0.608761
-0.412479 -0.412479 0.608761
-0.291667 -0.505181 0.608761
-0.150978 -0.563457 0.608761
0.000000 -0.583333 0.608761
0.150978 -0.563457 0.608761
0.291667 -0.505181 0.608761
0.412479 -0.412479 0.608761
0.505181 -0.291667 0.608761
0.563457 -0.150978 0.608761
0.583333 0.000000 0.608761
0.625000 0.000000 0.707107
0.603704 0.161762 0.707107
0.541266 0.312500 0.707107
0.441942 0.441942 0.707107
0.312500 0.541266 0.707107
0.161762 0.603704 0.707107
0.000000 0.625000 0.707107
-0.161762 0.603704 0.707107
-0.312500 0.541266 0.707107
-0.441942 0.441942 0.707107
-0.541266 0.312500 0.707107
-0.603704 0.161762 0.707107
-0.625000 0.000000 0.707107
-0.603704 -0.161762 0.707107
-0.541266 -0.312500 0.707107
-0.441942 -0.441942 0.707107
-0.312500 -0.541266 0.707107
-0.161762 -0.603704 0.707107
0.000000 -0.625000 0.707107
0.161762 -0.603704 0.707107
0.312500 -0.541266 0.707107
0.441942 -0.441942 0.707107
0.541266 -0.312500 0.707107
0.603704 -0.161762 0.707107
0.625000 0.000000 0.707107
0.625000 0.000000 0.793353
0.603704 0.161762 0.793353
0.541266 0.312500 0.793353
0.441942 0.441942 0.793353
0.312500 0.541266 0.793353
0.161762 0.603704 0.793353
0.000000 0.625000 0.793353
-0.161762 0.603704 0.793353
-0.312500 0.541266 0.793353
-0.441942 0.441942 0.793353
-0.541266 0.312500 0.793353
-0.603704 0.161762 0.793353
-0.625000 0.000000 0.793353
-0.603704 -0.161762 0.793353
-0.541266 -0.312500 0.793353
-0.441942 -0.441942 0.793353
-0.312500 -0.541266 0.793353
-0.161762 -0.603704 0.793353
0.000000 -0.625000 0.793353
0.161762 -0.603704 0.793353
0.312500 -0.541266 0.793353
0.441942 -0.441942 0.793353
0.541266 -0.312500 0.793353
0.603704 -0.161762 0.793353
0.625000 0.000000 0.793353
0.666667 0.000000 0.866025
0.643951 0.172546 0.866025
0.577350 0.333333 0.866025
0.471405 0.471405 0.866025
0.333333 0.577350 0.866025
0.172546 0.643951 0.866025
0.000000 0.666667 0.866025
-0.172546 0.643951 0.866025
-0.333333 0.577350 0.866025
-0.471405 0.471405 0.866025
-0.577350 0.333333 0.866025
-0.643951 0.172546 0.866025
-0.666667 0.000000 0.866025
-0.643951 -0.172546 0.866025
-0.577350 -0.333333 0.866025
-0.471405 -0.471405 0.866025
-0.333333 -0.577350 0.866025
-0.172546 -0.643951 0.866025
0.000000 -0.666667 0.866025
0.172546 -0.643951 0.866025
0.333333 -0.577350 0.866025
0.471405 -0.471405 0.866025
0.577350 -0.333333 0.866025
0.643951 -0.172546 0.866025
0.666667 0.000000 0.866025
0.666667 0.000000 0.923880
0.643951 0.172546 0.923880
0.577350 0.333333 0.923880
0.471405 0.471405 0.923880
0.333333 0.577350 0.923880
0.172546 0.643951 0.923880
0.000000 0.666667 0.923880
-0.172546 0.643951 0.923880
