3 3
points[25][25] = 
1.000000 0.000000 0.000000
0.965926 0.258819 0.000000
0.866025 0.500000 0.000000
0.707107 0.707107 0.000000
0.500000 0.866025 0.000000
0.258819 0.965926 0.000000
0.000000 1.000000 0.000000
-0.258819 0.965926 0.000000
-0.500000 0.866025 0.000000
-0.707107 0.707107 0.000000
-0.866025 0.500000 0.000000
-0.965926 0.258819 0.000000
-1.000000 0.000000 0.000000
-0.965926 -0.258819 0.000000
-0.866025 -0.500000 0.000000
-0.707107 -0.707107 0.000000
-0.500000 -0.866025 0.000000
-0.258819 -0.965926 0.000000
0.000000 -1.000000 0.000000
0.258819 -0.965926 0.000000
0.500000 -0.866025 0.000000
0.707107 -0.707107 0.000000
0.866025 -0.500000 0.000000
0.965926 -0.258819 0.000000
1.000000 0.000000 0.000000
1.000000 0.000000 0.041667
0.965926 0.258819 0.041667
0.866025 0.500000 0.041667
0.707107 0.707107 0.041667
0.500000 0.866025 0.041667
0.258819 0.965926 0.041667
0.000000 1.000000 0.041667
-0.258819 0.965926 0.041667
-0.500000 0.866025 0.041667
-0.707107 0.707107 0.041667
-0.866025 0.500000 0.041667
-0.965926 0.258819 0.041667
-1.000000 0.000000 0.041667
-0.965926 -0.258819 0.041667
-0.866025 -0.500000 0.041667
-0.707107 -0.707107 0.041667
-0.500000 -0.866025 0.041667
-0.258819 -0.965926 0.041667
0.000000 -1.000000 0.041667
0.258819 -0.965926 0.041667
0.500000 -0.866025 0.041667
0.707107 -0.707107 0.041667
0.866025 -0.500000 0.041667
0.965926 -0.258819 0.041667
1.000000 0.000000 0.041667
1.000000 0.000000 0.083333
0.965926 0.258819 0.083333
0.866025 0.500000 0.083333
0.707107 0.707107 0.083333
0.500000 0.866025 0.083333
0.258819 0.965926 0.083333
0.000000 1.000000 0.083333
-0.258819 0.965926 0.083333
-0.500000 0.866025 0.083333
-0.707107 0.707107 0.083333
-0.866025 0.500000 0.083333
-0.965926 0.258819 0.083333
-1.000000 0.000000 0.083333
-0.965926 -0.258819 0.083333
-0.866025 -0.500000 0.083333
-0.707107 -0.707107 0.083333
-0.500000 -0.866025 0.083333
-0.258819 -0.965926 0.083333
0.000000 -1.000000 0.083333
0.258819 -0.965926 0.083333
0.500000 -0.866025 0.083333
0.707107 -0.707107 0.083333
0.866025 -0.500000 0.083333
0.965926 -0.258819 0.083333
1.000000 0.000000 0.083333
1.000000 0.000000 0.125000
0.965926 0.258819 0.125000
0.866025 0.500000 0.125000
0.707107 0.707107 0.125000
0.500000 0.866025 0.125000
0.258819 0.965926 0.125000
0.000000 1.000000 0.125000
-0.258819 0.965926 0.125000
-0.500000 0.866025 0.125000
-0.707107 0.707107 0.125000
-0.866025 0.500000 0.125000
-0.965926 0.258819 0.125000
-1.000000 0.000000 0.125000
-0.965926 -0.258819 0.125000
-0.866025 -0.500000 0.125000
-0.707107 -0.707107 0.125000
-0.500000 -0.866025 0.125000
-0.258819 -0.965926 0.125000
0.000000 -1.000000 0.125000
0.258819 -0.965926 0.125000
0.500000 -0.866025 0.125000
0.707107 -0.707107 0.125000
0.866025 -0.500000 0.125000
0.965926 -0.258819 0.125000
1.000000 0.000000 0.125000
1.000000 0.000000 0.166667
0.965926 0.258819 0.166667
0.866025 0.500000 0.166667
0.707107 0.707107 0.166667
0.500000 0.866025 0.166667
0.258819 0.965926 0.166667
0.000000 1.000000 0.166667
-0.258819 0.965926 0.166667
-0.500000 0.866025 0.166667
-0.707107 0.707107 0.166667
-0.866025 0.500000 0.166667
-0.965926 0.258819 0.166667
-1.000000 0.000000 0.166667
-0.965926 -0.258819 0.166667
-0.866025 -0.500000 0.166667
-0.707107 -0.707107 0.166667
-0.500000 -0.866025 0.166667
-0.258819 -0.965926 0.166667
0.000000 -1.000000 0.166667
0.258819 -0.965926 0.166667
0.500000 -0.866025 0.166667
0.707107 -0.707107 0.166667
0.866025 -0.500000 0.166667
0.965926 -0.258819 0.166667
1.000000 0.000000 0.166667
1.000000 0.000000 0.208333
0.965926 0.258819 0.208333
0.866025 0.500000 0.208333
0.707107 0.707107 0.208333
0.500000 0.866025 0.208333
0.258819 0.965926 0.208333
0.000000 1.000000 0.208333
-0.258819 0.965926 0.208333
-0.500000 0.866025 0.208333
-0.707107 0.707107 0.208333
-0.866025 0.500000 0.208333
-0.965926 0.258819 0.208333
-1.000000 0.000000 0.208333
-0.965926 -0.258819 0.208333
-0.866025 -0.500000 0.208333
-0.707107 -0.707107 0.208333
-0.500000 -0.866025 0.208333
-0.258819 -0.965926 0.208333
0.000000 -1.000000 0.208333
0.258819 -0.965926 0.208333
0.500000 -0.866025 0.208333
0.707107 -0.707107 0.208333
0.866025 -0.500000 0.208333
0.965926 -0.258819 0.208333
1.000000 0.000000 0.208333
1.000000 0.000000 0.250000
0.965926 0.258819 0.250000
0.866025 0.500000 0.250000
0.707107 0.707107 0.250000
0.500000 0.866025 0.250000
0.258819 0.965926 0.250000
0.000000 1.000000 0.250000
-0.258819 0.965926 0.250000
-0.500000 0.866025 0.250000
-0.707107 0.707107 0.250000
-0.866025 0.500000 0.250000
-0.965926 0.258819 0.250000
-1.000000 0.000000 0.250000
-0.965926 -0.258819 0.250000
-0.866025 -0.500000 0.250000
-0.707107 -0.707107 0.250000
-0.500000 -0.866025 0.250000
-0.258819 -0.965926 0.250000
0.000000 -1.000000 0.250000
0.258819 -0.965926 0.250000
