3 3
points[25][25] = 
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.041667 0.000000 0.083333
0.040247 0.010784 0.083333
0.036084 0.020833 0.083333
0.029463 0.029463 0.083333
0.020833 0.036084 0.083333
0.010784 0.040247 0.083333
0.000000 0.041667 0.083333
-0.010784 0.040247 0.083333
-0.020833 0.036084 0.083333
-0.029463 0.029463 0.083333
-0.036084 0.020833 0.083333
-0.040247 0.010784 0.083333
-0.041667 0.000000 0.083333
-0.040247 -0.010784 0.083333
-0.036084 -0.020833 0.083333
-0.029463 -0.029463 0.083333
-0.020833 -0.036084 0.083333
-0.010784 -0.040247 0.083333
0.000000 -0.041667 0.083333
0.010784 -0.040247 0.083333
0.020833 -0.036084 0.083333
0.029463 -0.029463 0.083333
0.036084 -0.020833 0.083333
0.040247 -0.010784 0.083333
0.041667 0.000000 0.083333
0.083333 0.000000 0.166667
0.080494 0.021568 0.166667
0.072169 0.041667 0.166667
0.058926 0.058926 0.166667
0.041667 0.072169 0.166667
0.021568 0.080494 0.166667
0.000000 0.083333 0.166667
-0.021568 0.080494 0.166667
-0.041667 0.072169 0.166667
-0.058926 0.058926 0.166667
-0.072169 0.041667 0.166667
-0.080494 0.021568 0.166667
-0.083333 0.000000 0.166667
-0.080494 -0.021568 0.166667
-0.072169 -0.041667 0.166667
-0.058926 -0.058926 0.166667
-0.041667 -0.072169 0.166667
-0.021568 -0.080494 0.166667
0.000000 -0.083333 0.166667
0.021568 -0.080494 0.166667
0.041667 -0.072169 0.166667
0.058926 -0.058926 0.166667
0.072169 -0.041667 0.166667
0.080494 -0.021568 0.166667
0.083333 0.000000 0.166667
0.125000 0.000000 0.250000
0.120741 0.032352 0.250000
0.108253 0.062500 0.250000
0.088388 0.088388 0.250000
0.062500 0.108253 0.250000
0.032352 0.120741 0.250000
0.000000 0.125000 0.250000
-0.032352 0.120741 0.250000
-0.062500 0.108253 0.250000
-0.088388 0.088388 0.250000
-0.108253 0.062500 0.250000
-0.120741 0.032352 0.250000
-0.125000 0.000000 0.250000
-0.120741 -0.032352 0.250000
-0.108253 -0.062500 0.250000
-0.088388 -0.088388 0.250000
-0.062500 -0.108253 0.250000
