3 3
points[25][25] = 
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.000000 0.000000 -0.707107
0.041667 0.000000 -0.608761
0.040247 0.010784 -0.608761
0.036084 0.020833 -0.608761
0.029463 0.029463 -0.608761
0.020833 0.036084 -0.608761
0.010784 0.040247 -0.608761
0.000000 0.041667 -0.608761
-0.010784 0.040247 -0.608761
-0.020833 0.036084 -0.608761
-0.029463 0.029463 -0.608761
-0.036084 0.020833 -0.608761
-0.040247 0.010784 -0.608761
-0.041667 0.000000 -0.608761
-0.040247 -0.010784 -0.608761
-0.036084 -0.020833 -0.608761
-0.029463 -0.029463 -0.608761
-0.020833 -0.036084 -0.608761
-0.010784 -0.040247 -0.608761
0.000000 -0.041667 -0.608761
0.010784 -0.040247 -0.608761
0.020833 -0.036084 -0.608761
0.029463 -0.029463 -0.608761
0.036084 -0.020833 -0.608761
0.040247 -0.010784 -0.608761
0.041667 0.000000 -0.608761
0.083333 0.000000 -0.500000
0.080494 0.021568 -0.500000
0.072169 0.041667 -0.500000
0.058926 0.058926 -0.500000
0.041667 0.072169 -0.500000
0.021568 0.080494 -0.500000
0.000000 0.083333 -0.500000
-0.021568 0.080494 -0.500000
-0.041667 0.072169 -0.500000
-0.058926 0.058926 -0.500000
-0.072169 0.041667 -0.500000
-0.080494 0.021568 -0.500000
-0.083333 0.000000 -0.500000
-0.080494 -0.021568 -0.500000
-0.072169 -0.041667 -0.500000
-0.058926 -0.058926 -0.500000
-0.041667 -0.072169 -0.500000
-0.021568 -0.080494 -0.500000
0.000000 -0.083333 -0.500000
0.021568 -0.080494 -0.500000
0.041667 -0.072169 -0.500000
0.058926 -0.058926 -0.500000
0.072169 -0.041667 -0.500000
0.080494 -0.021568 -0.500000
0.083333 0.000000 -0.500000
0.125000 0.000000 -0.382683
0.120741 0.032352 -0.382683
0.108253 0.062500 -0.382683
0.088388 0.088388 -0.382683
0.062500 0.108253 -0.382683
0.032352 0.120741 -0.382683
0.000000 0.125000 -0.382683
-0.032352 0.120741 -0.382683
-0.062500 0.108253 -0.382683
-0.088388 0.088388 -0.382683
-0.108253 0.062500 -0.382683
-0.120741 0.032352 -0.382683
-0.125000 0.000000 -0.382683
-0.120741 -0.032352 -0.382683
-0.108253 -0.062500 -0.382683
-0.088388 -0.088388 -0.382683
-0.062500 -0.108253 -0.382683
-0.032352 -0.120741 -0.382683
0.000000 -0.125000 -0.382683
0.032352 -0.120741 -0.382683
0.062500 -0.108253 -0.382683
0.088388 -0.088388 -0.382683
0.108253 -0.062500 -0.382683
0.120741 -0.032352 -0.382683
0.125000 0.000000 -0.382683
0.166667 0.000000 -0.258819
0.160988 0.043137 -0.258819
0.144338 0.083333 -0.258819
0.117851 0.117851 -0.258819
0.083333 0.144338 -0.258819
0.043137 0.160988 -0.258819
0.000000 0.166667 -0.258819
-0.043137 0.160988 -0.258819
-0.083333 0.144338 -0.258819
-0.117851 0.117851 -0.258819
-0.144338 0.083333 -0.258819
-0.160988 0.043137 -0.258819
-0.166667 0.000000 -0.258819
-0.160988 -0.043137 -0.258819
-0.144338 -0.083333 -0.258819
-0.117851 -0.117851 -0.258819
-0.083333 -0.144338 -0.258819
-0.043137 -0.160988 -0.258819
0.000000 -0.166667 -0.258819
0.043137 -0.160988 -0.258819
0.083333 -0.144338 -0.258819
0.117851 -0.117851 -0.258819
0.144338 -0.083333 -0.258819
0.160988 -0.043137 -0.258819
0.166667 0.000000 -0.258819
0.208333 0.000000 -0.130526
0.201235 0.053921 -0.130526
0.180422 0.104167 -0.130526
0.147314 0.147314 -0.130526
0.104167 0.180422 -0.130526
0.053921 0.201235 -0.130526
0.000000 0.208333 -0.130526
-0.053921 0.201235 -0.130526
-0.104167 0.180422 -0.130526
-0.147314 0.147314 -0.130526
-0.180422 0.104167 -0.130526
-0.201235 0.053921 -0.130526
-0.208333 0.000000 -0.130526
-0.201235 -0.053921 -0.130526
-0.180422 -0.104167 -0.130526
-0.147314 -0.147314 -0.130526
-0.104167 -0.180422 -0.130526
-0.053921 -0.201235 -0.130526
0.000000 -0.208333 -0.130526
0.053921 -0.201235 -0.130526
0.104167 -0.180422 -0.130526
0.147314 -0.147314 -0.130526
0.180422 -0.104167 -0.130526
0.201235 -0.053921 -0.130526
0.208333 0.000000 -0.130526
0.250000 0.000000 0.000000
0.241481 0.064705 0.000000
0.216506 0.125000 0.000000
0.176777 0.176777 0.000000
0.125000 0.216506 0.000000
0.064705 0.241481 0.000000
0.000000 0.250000 0.000000
-0.064705 0.241481 0.000000
-0.125000 0.216506 0.000000
-0.176777 0.176777 0.000000
-0.216506 0.125000 0.000000
-0.241481 0.064705 0.000000
-0.250000 0.000000 0.000000
-0.241481 -0.064705 0.000000
-0.216506 -0.125000 0.000000
-0.176777 -0.176777 0.000000
-0.125000 -0.216506 0.000000
-0.064705 -0.241481 0.000000
0.000000 -0.250000 0.000000
0.064705 -0.241481 0.000000
0.125000 -0.216506 0.000000
0.176777 -0.176777 0.000000
0.216506 -0.125000 0.000000
0.241481 -0.064705 0.000000
0.250000 0.000000 0.000000
0.291667 0.000000 0.130526
0.281728 0.075489 0.130526
0.252591 0.145833 0.130526
0.206239 0.206239 0.130526
0.145833 0.252591 0.130526
0.075489 0.281728 0.130526
0.000000 0.291667 0.130526
-0.075489 0.281728 0.130526
-0.145833 0.252591 0.130526
-0.206239 0.206239 0.130526
-0.252591 0.145833 0.130526
-0.281728 0.075489 0.130526
-0.291667 0.000000 0.130526
-0.281728 -0.075489 0.130526
-0.252591 -0.145833 0.130526
-0.206239 -0.206239 0.130526
-0.145833 -0.252591 0.130526
-0.075489 -0.281728 0.130526
0.000000 -0.291667 0.130526
0.075489 -0.281728 0.130526
0.145833 -0.252591 0.130526
0.206239 -0.206239 0.130526
0.252591 -0.145833 0.130526
0.281728 -0.075489 0.130526
0.291667 0.000000 0.130526
0.333333 0.000000 0.258819
0.321975 0.086273 0.258819
0.288675 0.166667 0.258819
0.235702 0.235702 0.258819
0.166667 0.288675 0.258819
0.086273 0.321975 0.258819
0.000000 0.333333 0.258819
-0.086273 0.321975 0.258819
-0.166667 0.288675 0.258819
-0.235702 0.235702 0.258819
-0.288675 0.166667 0.258819
-0.321975 0.086273 0.258819
-0.333333 0.000000 0.258819
-0.321975 -0.086273 0.258819
-0.288675 -0.166667 0.258819
-0.235702 -0.235702 0.258819
-0.166667 -0.288675 0.258819
-0.086273 -0.321975 0.258819
0.000000 -0.333333 0.258819
0.086273 -0.321975 0.258819
0.166667 -0.288675 0.258819
0.235702 -0.235702 0.258819
0.288675 -0.166667 0.258819
0.321975 -0.086273 0.258819
0.333333 0.000000 0.258819
0.375000 0.000000 0.382683
0.362222 0.097057 0.382683
0.324760 0.187500 0.382683
0.265165 0.265165 0.382683
0.187500 0.324760 0.382683
0.097057 0.362222 0.382683
0.000000 0.375000 0.382683
-0.097057 0.362222 0.382683
-0.187500 0.324760 0.382683
-0.265165 0.265165 0.382683
-0.324760 0.187500 0.382683
-0.362222 0.097057 0.382683
-0.375000 0.000000 0.382683
-0.362222 -0.097057 0.382683
-0.324760 -0.187500 0.382683
-0.265165 -0.265165 0.382683
-0.187500 -0.324760 0.382683
-0.097057 -0.362222 0.382683
0.000000 -0.375000 0.382683
0.097057 -0.362222 0.382683
0.187500 -0.324760 0.382683
0.265165 -0.265165 0.382683
0.324760 -0.187500 0.382683
0.362222 -0.097057 0.382683
0.375000 0.000000 0.382683
0.416667 0.000000 0.500000
0.402469 0.107841 0.500000
0.360844 0.208333 0.500000
0.294628 0.294628 0.500000
0.208333 0.360844 0.500000
0.107841 0.402469 0.500000
0.000000 0.416667 0.500000
-0.107841 0.402469 0.500000
-0.208333 0.360844 0.500000
-0.294628 0.294628 0.500000
-0.360844 0.208333 0.500000
-0.402469 0.107841 0.500000
-0.416667 0.000000 0.500000
-0.402469 -0.107841 0.500000
-0.360844 -0.208333 0.500000
-0.294628 -0.294628 0.500000
-0.208333 -0.360844 0.500000
-0.107841 -0.402469 0.500000
0.000000 -0.416667 0.500000
0.107841 -0.402469 0.500000
0.208333 -0.360844 0.500000
0.294628 -0.294628 0.500000
0.360844 -0.208333 0.500000
0.402469 -0.107841 0.500000
0.416667 0.000000 0.500000
0.458333 0.000000 0.608761
0.442716 0.118625 0.608761
0.396928 0.229167 0.608761
0.324091 0.324091 0.608761
0.229167 0.396928 0.608761
0.118625 0.442716 0.608761
0.000000 0.458333 0.608761
