3 3
points[25][25] = 
1.000000 0.000000 0.000000
0.991445 0.130526 0.000000
0.965926 0.258819 0.000000
0.923880 0.382683 0.000000
0.866025 0.500000 0.000000
0.793353 0.608761 0.000000
0.707107 0.707107 0.000000
0.608761 0.793353 0.000000
0.500000 0.866025 0.000000
0.382683 0.923880 0.000000
0.258819 0.965926 0.000000
0.130526 0.991445 0.000000
0.000000 1.000000 0.000000
-0.130526 0.991445 0.000000
-0.258819 0.965926 0.000000
-0.382683 0.923880 0.000000
-0.500000 0.866025 0.000000
-0.608761 0.793353 0.000000
-0.707107 0.707107 0.000000
-0.793353 0.608761 0.000000
-0.866025 0.500000 0.000000
-0.923880 0.382683 0.000000
-0.965926 0.258819 0.000000
-0.991445 0.130526 0.000000
-1.000000 0.000000 0.000000
1.000000 0.000000 0.041667
0.991445 0.130526 0.041667
0.965926 0.258819 0.041667
0.923880 0.382683 0.041667
0.866025 0.500000 0.041667
0.793353 0.608761 0.041667
0.707107 0.707107 0.041667
0.608761 0.793353 0.041667
0.500000 0.866025 0.041667
0.382683 0.923880 0.041667
0.258819 0.965926 0.041667
0.130526 0.991445 0.041667
0.000000 1.000000 0.041667
-0.130526 0.991445 0.041667
-0.258819 0.965926 0.041667
-0.382683 0.923880 0.041667
-0.500000 0.866025 0.041667
-0.608761 0.793353 0.041667
-0.707107 0.707107 0.041667
-0.793353 0.608761 0.041667
-0.866025 0.500000 0.041667
-0.923880 0.382683 0.041667
-0.965926 0.258819 0.041667
-0.991445 0.130526 0.041667
-1.000000 0.000000 0.041667
1.000000 0.000000 0.083333
0.991445 0.130526 0.083333
0.965926 0.258819 0.083333
0.923880 0.382683 0.083333
0.866025 0.500000 0.083333
0.793353 0.608761 0.083333
0.707107 0.707107 0.083333
0.608761 0.793353 0.083333
0.500000 0.866025 0.083333
0.382683 0.923880 0.083333
0.258819 0.965926 0.083333
0.130526 0.991445 0.083333
0.000000 1.000000 0.083333
-0.130526 0.991445 0.083333
-0.258819 0.965926 0.083333
-0.382683 0.923880 0.083333
-0.500000 0.866025 0.083333
-0.608761 0.793353 0.083333
-0.707107 0.707107 0.083333
-0.793353 0.608761 0.083333
-0.866025 0.500000 0.083333
-0.923880 0.382683 0.083333
-0.965926 0.258819 0.083333
-0.991445 0.130526 0.083333
-1.000000 0.000000 0.083333
1.000000 0.000000 0.125000
0.991445 0.130526 0.125000
0.965926 0.258819 0.125000
0.923880 0.382683 0.125000
0.866025 0.500000 0.125000
0.793353 0.608761 0.125000
0.707107 0.707107 0.125000
0.608761 0.793353 0.125000
0.500000 0.866025 0.125000
0.382683 0.923880 0.125000
0.258819 0.965926 0.125000
0.130526 0.991445 0.125000
0.000000 1.000000 0.125000
-0.130526 0.991445 0.125000
-0.258819 0.965926 0.125000
-0.382683 0.923880 0.125000
-0.500000 0.866025 0.125000
-0.608761 0.793353 0.125000
-0.707107 0.707107 0.125000
-0.793353 0.608761 0.125000
-0.866025 0.500000 0.125000
-0.923880 0.382683 0.125000
-0.965926 0.258819 0.125000
-0.991445 0.130526 0.125000
-1.000000 0.000000 0.125000
1.000000 0.000000 0.166667
0.991445 0.130526 0.166667
0.965926 0.258819 0.166667
0.923880 0.382683 0.166667
0.866025 0.500000 0.166667
0.793353 0.608761 0.166667
0.707107 0.707107 0.166667
0.608761 0.793353 0.166667
0.500000 0.866025 0.166667
0.382683 0.923880 0.166667
0.258819 0.965926 0.166667
0.130526 0.991445 0.166667
0.000000 1.000000 0.166667
-0.130526 0.991445 0.166667
-0.258819 0.965926 0.166667
-0.382683 0.923880 0.166667
-0.500000 0.866025 0.166667
-0.608761 0.793353 0.166667
-0.707107 0.707107 0.166667
-0.793353 0.608761 0.166667
-0.866025 0.500000 0.166667
-0.923880 0.382683 0.166667
-0.965926 0.258819 0.166667
-0.991445 0.130526 0.166667
-1.000000 0.000000 0.166667
1.000000 0.000000 0.208333
0.991445 0.130526 0.208333
0.965926 0.258819 0.208333
0.923880 0.382683 0.208333
0.866025 0.500000 0.208333
0.793353 0.608761 0.208333
0.707107 0.707107 0.208333
0.608761 0.793353 0.208333
0.500000 0.866025 0.208333
0.382683 0.923880 0.208333
0.258819 0.965926 0.208333
0.130526 0.991445 0.208333
0.000000 1.000000 0.208333
-0.130526 0.991445 0.208333
-0.258819 0.965926 0.208333
-0.382683 0.923880 0.208333
-0.500000 0.866025 0.208333
-0.608761 0.793353 0.208333
-0.707107 0.707107 0.208333
-0.793353 0.608761 0.208333
-0.866025 0.500000 0.208333
-0.923880 0.382683 0.208333
-0.965926 0.258819 0.208333
-0.991445 0.130526 0.208333
-1.000000 0.000000 0.208333
1.000000 0.000000 0.250000
0.991445 0.130526 0.250000
0.965926 0.258819 0.250000
0.923880 0.382683 0.250000
0.866025 0.500000 0.250000
0.793353 0.608761 0.250000
0.707107 0.707107 0.250000
0.608761 0.793353 0.250000
0.500000 0.866025 0.250000
0.382683 0.923880 0.250000
0.258819 0.965926 0.250000
0.130526 0.991445 0.250000
0.000000 1.000000 0.250000
-0.130526 0.991445 0.250000
-0.258819 0.965926 0.250000
-0.382683 0.923880 0.250000
-0.500000 0.866025 0.250000
-0.608761 0.793353 0.250000
-0.707107 0.707107 0.250000
-0.793353 0.608761 0.250000
-0.866025 0.500000 0.250000
-0.923880 0.382683 0.250000
-0.965926 0.258819 0.250000
-0.991445 0.130526 0.250000
-1.000000 0.000000 0.250000
1.000000 0.000000 0.291667
0.991445 0.130526 0.291667
0.965926 0.258819 0.291667
0.923880 0.382683 0.291667
0.866025 0.500000 0.291667
0.793353 0.608761 0.291667
0.707107 0.707107 0.291667
0.608761 0.793353 0.291667
0.500000 0.866025 0.291667
0.382683 0.923880 0.291667
0.258819 0.965926 0.291667
0.130526 0.991445 0.291667
0.000000 1.000000 0.291667
-0.130526 0.991445 0.291667
-0.258819 0.965926 0.291667
-0.382683 0.923880 0.291667
-0.500000 0.866025 0.291667
-0.608761 0.793353 0.291667
-0.707107 0.707107 0.291667
-0.793353 0.608761 0.291667
-0.866025 0.500000 0.291667
-0.923880 0.382683 0.291667
-0.965926 0.258819 0.291667
-0.991445 0.130526 0.291667
-1.000000 0.000000 0.291667
1.000000 0.000000 0.333333
0.991445 0.130526 0.333333
0.965926 0.258819 0.333333
0.923880 0.382683 0.333333
0.866025 0.500000 0.333333
0.793353 0.608761 0.333333
0.707107 0.707107 0.333333
0.608761 0.793353 0.333333
0.500000 0.866025 0.333333
0.382683 0.923880 0.333333
0.258819 0.965926 0.333333
0.130526 0.991445 0.333333
0.000000 1.000000 0.333333
-0.130526 0.991445 0.333333
-0.258819 0.965926 0.333333
-0.382683 0.923880 0.333333
-0.500000 0.866025 0.333333
-0.608761 0.793353 0.333333
-0.707107 0.707107 0.333333
-0.793353 0.608761 0.333333
-0.866025 0.500000 0.333333
-0.923880 0.382683 0.333333
-0.965926 0.258819 0.333333
-0.991445 0.130526 0.333333
-1.000000 0.000000 0.333333
1.000000 0.000000 0.375000
0.991445 0.130526 0.375000
0.965926 0.258819 0.375000
0.923880 0.382683 0.375000
0.866025 0.500000 0.375000
0.793353 0.608761 0.375000
0.707107 0.707107 0.375000
0.608761 0.793353 0.375000
0.500000 0.866025 0.375000
0.382683 0.923880 0.375000
0.258819 0.965926 0.375000
0.130526 0.991445 0.375000
0.000000 1.000000 0.375000
-0.130526 0.991445 0.375000
-0.258819 0.965926 0.375000
-0.382683 0.923880 0.375000
-0.500000 0.866025 0.375000
-0.608761 0.793353 0.375000
-0.707107 0.707107 0.375000
-0.793353 0.608761 0.375000
-0.866025 0.500000 0.375000
-0.923880 0.382683 0.375000
-0.965926 0.258819 0.375000
-0.991445 0.130526 0.375000
-1.000000 0.000000 0.375000
1.000000 0.000000 0.416667
0.991445 0.130526 0.416667
0.965926 0.258819 0.416667
0.923880 0.382683 0.416667
0.866025 0.500000 0.416667
0.793353 0.608761 0.416667
0.707107 0.707107 0.416667
0.608761 0.793353 0.416667
0.500000 0.866025 0.416667
0.382683 0.923880 0.416667
0.258819 0.965926 0.416667
0.130526 0.991445 0.416667
0.000000 1.000000 0.416667
-0.130526 0.991445 0.416667
-0.258819 0.965926 0.416667
-0.382683 0.923880 0.416667
-0.500000 0.866025 0.416667
-0.608761 0.793353 0.416667
-0.707107 0.707107 0.416667
-0.793353 0.608761 0.416667
-0.866025 0.500000 0.416667
-0.923880 0.382683 0.416667
-0.965926 0.258819 0.416667
-0.991445 0.130526 0.416667
-1.000000 0.000000 0.416667
1.000000 0.000000 0.458333
0.991445 0.130526 0.458333
0.965926 0.258819 0.458333
0.923880 0.382683 0.458333
0.866025 0.500000 0.458333
0.793353 0.608761 0.458333
0.707107 0.707107 0.458333
0.608761 0.793353 0.458333
0.500000 0.866025 0.458333
0.382683 0.923880 0.458333
0.258819 0.965926 0.458333
0.130526 0.991445 0.458333
0.000000 1.000000 0.458333
-0.130526 0.991445 0.458333
-0.258819 0.965926 0.458333
-0.382683 0.923880 0.458333
-0.500000 0.866025 0.458333
-0.608761 0.793353 0.458333
-0.707107 0.707107 0.458333
-0.793353 0.608761 0.458333
-0.866025 0.500000 0.458333
-0.923880 0.382683 0.458333
-0.965926 0.258819 0.458333
-0.991445 0.130526 0.458333
-1.000000 0.000000 0.458333
1.000000 0.000000 0.500000
0.991445 0.130526 0.500000
0.965926 0.258819 0.500000
0.923880 0.382683 0.500000
0.866025 0.500000 0.500000
0.793353 0.608761 0.500000
0.707107 0.707107 0.500000
0.608761 0.793353 0.500000
0.500000 0.866025 0.500000
0.382683 0.923880 0.500000
0.258819 0.965926 0.500000
0.130526 0.991445 0.500000
0.000000 1.000000 0.500000
-0.130526 0.991445 0.500000
-0.258819 0.965926 0.500000
-0.382683 0.923880 0.500000
-0.500000 0.866025 0.500000
-0.608761 0.793353 0.500000
-0.707107 0.707107 0.500000
-0.793353 0.608761 0.500000
-0.866025 0.500000 0.500000
-0.923880 0.382683 0.500000
-0.965926 0.258819 0.500000
-0.991445 0.130526 0.500000
-1.000000 0.000000 0.500000
1.000000 0.000000 0.541667
0.991445 0.130526 0.541667
0.965926 0.258819 0.541667
0.923880 0.382683 0.541667
0.866025 0.500000 0.541667
0.793353 0.608761 0.541667
0.707107 0.707107 0.541667
0.608761 0.793353 0.541667
0.500000 0.866025 0.541667
0.382683 0.923880 0.541667
0.258819 0.965926 0.541667
0.130526 0.991445 0.541667
0.000000 1.000000 0.541667
-0.130526 0.991445 0.541667
-0.258819 0.965926 0.541667
-0.382683 0.923880 0.541667
-0.500000 0.866025 0.541667
-0.608761 0.793353 0.541667
-0.707107 0.707107 0.541667
-0.793353 0.608761 0.541667
-0.866025 0.500000 0.541667
-0.923880 0.382683 0.541667
-0.965926 0.258819 0.541667
-0.991445 0.130526 0.541667
-1.000000 0.000000 0.541667
1.000000 0.000000 0.583333
0.991445 0.130526 0.583333
0.965926 0.258819 0.583333
0.923880 0.382683 0.583333
0.866025 0.500000 0.583333
0.793353 0.608761 0.583333
0.707107 0.707107 0.583333
0.608761 0.793353 0.583333
0.500000 0.866025 0.583333
0.382683 0.923880 0.583333
0.258819 0.965926 0.583333
0.130526 0.991445 0.583333
0.000000 1.000000 0.583333
-0.130526 0.991445 0.583333
-0.258819 0.965926 0.583333
-0.382683 0.923880 0.583333
-0.500000 0.866025 0.583333
-0.608761 0.793353 0.583333
-0.707107 0.707107 0.583333
-0.793353 0.608761 0.583333
-0.866025 0.500000 0.583333
-0.923880 0.382683 0.583333
-0.965926 0.258819 0.583333
-0.991445 0.130526 0.583333
-1.000000 0.000000 0.583333
1.000000 0.000000 0.625000
0.991445 0.130526 0.625000
0.965926 0.258819 0.625000
0.923880 0.382683 0.625000
0.866025 0.500000 0.625000
0.793353 0.608761 0.625000
0.707107 0.707107 0.625000
0.608761 0.793353 0.625000
0.500000 0.866025 0.625000
0.382683 0.923880 0.625000
0.258819 0.965926 0.625000
0.130526 0.991445 0.625000
0.000000 1.000000 0.625000
-0.130526 0.991445 0.625000
-0.258819 0.965926 0.625000
-0.382683 0.923880 0.625000
-0.500000 0.866025 0.625000
-0.608761 0.793353 0.625000
-0.707107 0.707107 0.625000
-0.793353 0.608761 0.625000
-0.866025 0.500000 0.625000
-0.923880 0.382683 0.625000
-0.965926 0.258819 0.625000
-0.991445 0.130526 0.625000
-1.000000 0.000000 0.625000
1.000000 0.000000 0.666667
0.991445 0.130526 0.666667
0.965926 0.258819 0.666667
0.923880 0.382683 0.666667
0.866025 0.500000 0.666667
0.793353 0.608761 0.666667
0.707107 0.707107 0.666667
0.608761 0.793353 0.666667
0.500000 0.866025 0.666667
0.382683 0.923880 0.666667
0.258819 0.965926 0.666667
0.130526 0.991445 0.666667
0.000000 1.000000 0.666667
-0.130526 0.991445 0.666667
-0.258819 0.965926 0.666667
-0.382683 0.923880 0.666667
-0.500000 0.866025 0.666667
-0.608761 0.793353 0.666667
-0.707107 0.707107 0.666667
-0.793353 0.608761 0.666667
-0.866025 0.500000 0.666667
-0.923880 0.382683 0.666667
-0.965926 0.258819 0.666667
-0.991445 0.130526 0.666667
-1.000000 0.000000 0.666667
1.000000 0.000000 0.708333
0.991445 0.130526 0.708333
0.965926 0.258819 0.708333
0.923880 0.382683 0.708333
0.866025 0.500000 0.708333
0.793353 0.608761 0.708333
0.707107 0.707107 0.708333
0.608761 0.793353 0.708333
0.500000 0.866025 0.708333
0.382683 0.923880 0.708333
0.258819 0.965926 0.708333
0.130526 0.991445 0.708333
0.000000 1.000000 0.708333
-0.130526 0.991445 0.708333
-0.258819 0.965926 0.708333
-0.382683 0.923880 0.708333
-0.500000 0.866025 0.708333
-0.608761 0.793353 0.708333
-0.707107 0.707107 0.708333
-0.793353 0.608761 0.708333
-0.866025 0.500000 0.708333
-0.923880 0.382683 0.708333
-0.965926 0.258819 0.708333
-0.991445 0.130526 0.708333
-1.000000 0.000000 0.708333
1.000000 0.000000 0.750000
0.991445 0.130526 0.750000
0.965926 0.258819 0.750000
0.923880 0.382683 0.750000
0.866025 0.500000 0.750000
0.793353 0.608761 0.750000
0.707107 0.707107 0.750000
0.608761 0.793353 0.750000
0.500000 0.866025 0.750000
0.382683 0.923880 0.750000
0.258819 0.965926 0.750000
0.130526 0.991445 0.750000
0.000000 1.000000 0.750000
-0.130526 0.991445 0.750000
-0.258819 0.965926 0.750000
-0.382683 0.923880 0.750000
-0.500000 0.866025 0.750000
-0.608761 0.793353 0.750000
-0.707107 0.707107 0.750000
-0.793353 0.608761 0.750000
-0.866025 0.500000 0.750000
-0.923880 0.382683 0.750000
-0.965926 0.258819 0.750000
-0.991445 0.130526 0.750000
-1.000000 0.000000 0.750000
1.000000 0.000000 0.791667
0.991445 0.130526 0.791667
0.965926 0.258819 0.791667
0.923880 0.382683 0.791667
0.866025 0.500000 0.791667
0.793353 0.608761 0.791667
0.707107 0.707107 0.791667
0.608761 0.793353 0.791667
0.500000 0.866025 0.791667
0.382683 0.923880 0.791667
0.258819 0.965926 0.791667
0.130526 0.991445 0.791667
0.000000 1.000000 0.791667
-0.130526 0.991445 0.791667
-0.258819 0.965926 0.791667
-0.382683 0.923880 0.791667
-0.500000 0.866025 0.791667
-0.608761 0.793353 0.791667
-0.707107 0.707107 0.791667
-0.793353 0.608761 0.791667
-0.866025 0.500000 0.791667
-0.923880 0.382683 0.791667
-0.965926 0.258819 0.791667
-0.991445 0.130526 0.791667
-1.000000 0.000000 0.791667
1.000000 0.000000 0.833333
0.991445 0.130526 0.833333
0.965926 0.258819 0.833333
0.923880 0.382683 0.833333
0.866025 0.500000 0.833333
0.793353 0.608761 0.833333
0.707107 0.707107 0.833333
0.608761 0.793353 0.833333
0.500000 0.866025 0.833333
0.382683 0.923880 0.833333
0.258819 0.965926 0.833333
0.130526 0.991445 0.833333
0.000000 1.000000 0.833333
-0.130526 0.991445 0.833333
-0.258819 0.965926 0.833333
-0.382683 0.923880 0.833333
-0.500000 0.866025 0.833333
-0.608761 0.793353 0.833333
-0.707107 0.707107 0.833333
-0.793353 0.608761 0.833333
-0.866025 0.500000 0.833333
-0.923880 0.382683 0.833333
-0.965926 0.258819 0.833333
-0.991445 0.130526 0.833333
-1.000000 0.000000 0.833333
1.000000 0.000000 0.875000
0.991445 0.130526 0.875000
0.965926 0.258819 0.875000
0.923880 0.382683 0.875000
0.866025 0.500000 0.875000
0.793353 0.608761 0.875000
0.707107 0.707107 0.875000
0.608761 0.793353 0.875000
0.500000 0.866025 0.875000
0.382683 0.923880 0.875000
0.258819 0.965926 0.875000
0.130526 0.991445 0.875000
0.000000 1.000000 0.875000
-0.130526 0.991445 0.875000
-0.258819 0.965926 0.875000
-0.382683 0.923880 0.875000
-0.500000 0.866025 0.875000
-0.608761 0.793353 0.875000
-0.707107 0.707107 0.875000
-0.793353 0.608761 0.875000
-0.866025 0.500000 0.875000
-0.923880 0.382683 0.875000
-0.965926 0.258819 0.875000
-0.991445 0.130526 0.875000
-1.000000 0.000000 0.875000
1.000000 0.000000 0.916667
0.991445 0.130526 0.916667
0.965926 0.258819 0.916667
0.923880 0.382683 0.916667
0.866025 0.500000 0.916667
0.793353 0.608761 0.916667
0.707107 0.707107 0.916667
0.608761 0.793353 0.916667
0.500000 0.866025 0.916667
0.382683 0.923880 0.916667
0.258819 0.965926 0.916667
0.130526 0.991445 0.916667
0.000000 1.000000 0.916667
