3 3
points[25][25] = 
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.258819 0.000000 0.166667
0.250000 0.066987 0.166667
0.224144 0.129410 0.166667
0.183013 0.183013 0.166667
0.129410 0.224144 0.166667
0.066987 0.250000 0.166667
0.000000 0.258819 0.166667
-0.066987 0.250000 0.166667
-0.129410 0.224144 0.166667
-0.183013 0.183013 0.166667
-0.224144 0.129410 0.166667
-0.250000 0.066987 0.166667
-0.258819 0.000000 0.166667
-0.250000 -0.066987 0.166667
-0.224144 -0.129410 0.166667
-0.183013 -0.183013 0.166667
-0.129410 -0.224144 0.166667
-0.066987 -0.250000 0.166667
0.000000 -0.258819 0.166667
0.066987 -0.250000 0.166667
0.129410 -0.224144 0.166667
0.183013 -0.183013 0.166667
0.224144 -0.129410 0.166667
0.250000 -0.066987 0.166667
0.258819 0.000000 0.166667
0.500000 0.000000 0.333333
0.482963 0.129410 0.333333
0.433013 0.250000 0.333333
0.353553 0.353553 0.333333
0.250000 0.433013 0.333333
0.129410 0.482963 0.333333
0.000000 0.500000 0.333333
-0.129410 0.482963 0.333333
-0.250000 0.433013 0.333333
-0.353553 0.353553 0.333333
-0.433013 0.250000 0.333333
-0.482963 0.129410 0.333333
-0.500000 0.000000 0.333333
-0.482963 -0.129410 0.333333
-0.433013 -0.250000 0.333333
-0.353553 -0.353553 0.333333
-0.250000 -0.433013 0.333333
-0.129410 -0.482963 0.333333
0.000000 -0.500000 0.333333
0.129410 -0.482963 0.333333
0.250000 -0.433013 0.333333
0.353553 -0.353553 0.333333
0.433013 -0.250000 0.333333
0.482963 -0.129410 0.333333
0.500000 0.000000 0.333333
0.707107 0.000000 0.500000
0.683013 0.183013 0.500000
0.612372 0.353553 0.500000
0.500000 0.500000 0.500000
0.353553 0.612372 0.500000
0.183013 0.683013 0.500000
0.000000 0.707107 0.500000
-0.183013 0.683013 0.500000
-0.353553 0.612372 0.500000
-0.500000 0.500000 0.500000
-0.612372 0.353553 0.500000
-0.683013 0.183013 0.500000
-0.707107 0.000000 0.500000
-0.683013 -0.183013 0.500000
-0.612372 -0.353553 0.500000
-0.500000 -0.500000 0.500000
-0.353553 -0.612372 0.500000
