3 3
points[25][25] = 
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.000000 0.000000 0.083333
0.041667 0.000000 0.166667
0.040247 0.010784 0.166667
0.036084 0.020833 0.166667
0.029463 0.029463 0.166667
0.020833 0.036084 0.166667
0.010784 0.040247 0.166667
0.000000 0.041667 0.166667
-0.010784 0.040247 0.166667
-0.020833 0.036084 0.166667
-0.029463 0.029463 0.166667
-0.036084 0.020833 0.166667
-0.040247 0.010784 0.166667
-0.041667 0.000000 0.166667
-0.040247 -0.010784 0.166667
-0.036084 -0.020833 0.166667
-0.029463 -0.029463 0.166667
-0.020833 -0.036084 0.166667
-0.010784 -0.040247 0.166667
0.000000 -0.041667 0.166667
0.010784 -0.040247 0.166667
0.020833 -0.036084 0.166667
0.029463 -0.029463 0.166667
0.036084 -0.020833 0.166667
0.040247 -0.010784 0.166667
0.041667 0.000000 0.166667
0.041667 0.000000 0.250000
0.040247 0.010784 0.250000
0.036084 0.020833 0.250000
0.029463 0.029463 0.250000
0.020833 0.036084 0.250000
0.010784 0.040247 0.250000
0.000000 0.041667 0.250000
-0.010784 0.040247 0.250000
-0.020833 0.036084 0.250000
-0.029463 0.029463 0.250000
-0.036084 0.020833 0.250000
-0.040247 0.010784 0.250000
-0.041667 0.000000 0.250000
-0.040247 -0.010784 0.250000
-0.036084 -0.020833 0.250000
-0.029463 -0.029463 0.250000
-0.020833 -0.036084 0.250000
-0.010784 -0.040247 0.250000
