3 3
points[25][25] = 
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.000000 0.000000 -1.000000
0.130526 0.000000 -0.991445
0.126079 0.033783 -0.991445
0.113039 0.065263 -0.991445
0.092296 0.092296 -0.991445
0.065263 0.113039 -0.991445
0.033783 0.126079 -0.991445
0.000000 0.130526 -0.991445
-0.033783 0.126079 -0.991445
-0.065263 0.113039 -0.991445
-0.092296 0.092296 -0.991445
-0.113039 0.065263 -0.991445
-0.126079 0.033783 -0.991445
-0.130526 0.000000 -0.991445
-0.126079 -0.033783 -0.991445
-0.113039 -0.065263 -0.991445
-0.092296 -0.092296 -0.991445
-0.065263 -0.113039 -0.991445
-0.033783 -0.126079 -0.991445
0.000000 -0.130526 -0.991445
0.033783 -0.126079 -0.991445
0.065263 -0.113039 -0.991445
0.092296 -0.092296 -0.991445
0.113039 -0.065263 -0.991445
0.126079 -0.033783 -0.991445
0.130526 0.000000 -0.991445
0.258819 0.000000 -0.965926
0.250000 0.066987 -0.965926
0.224144 0.129410 -0.965926
0.183013 0.183013 -0.965926
0.129410 0.224144 -0.965926
0.066987 0.250000 -0.965926
0.000000 0.258819 -0.965926
-0.066987 0.250000 -0.965926
-0.129410 0.224144 -0.965926
-0.183013 0.183013 -0.965926
-0.224144 0.129410 -0.965926
-0.250000 0.066987 -0.965926
-0.258819 0.000000 -0.965926
-0.250000 -0.066987 -0.965926
-0.224144 -0.129410 -0.965926
-0.183013 -0.183013 -0.965926
-0.129410 -0.224144 -0.965926
-0.066987 -0.250000 -0.965926
0.000000 -0.258819 -0.965926
0.066987 -0.250000 -0.965926
0.129410 -0.224144 -0.965926
0.183013 -0.183013 -0.965926
0.224144 -0.129410 -0.965926
0.250000 -0.066987 -0.965926
0.258819 0.000000 -0.965926
0.382683 0.000000 -0.923880
0.369644 0.099046 -0.923880
0.331414 0.191342 -0.923880
0.270598 0.270598 -0.923880
0.191342 0.331414 -0.923880
0.099046 0.369644 -0.923880
0.000000 0.382683 -0.923880
-0.099046 0.369644 -0.923880
-0.191342 0.331414 -0.923880
-0.270598 0.270598 -0.923880
-0.331414 0.191342 -0.923880
-0.369644 0.099046 -0.923880
-0.382683 0.000000 -0.923880
-0.369644 -0.099046 -0.923880
-0.331414 -0.191342 -0.923880
-0.270598 -0.270598 -0.923880
-0.191342 -0.331414 -0.923880
-0.099046 -0.369644 -0.923880
0.000000 -0.382683 -0.923880
0.099046 -0.369644 -0.923880
0.191342 -0.331414 -0.923880
0.270598 -0.270598 -0.923880
0.331414 -0.191342 -0.923880
0.369644 -0.099046 -0.923880
0.382683 0.000000 -0.923880
0.500000 0.000000 -0.866025
0.482963 0.129410 -0.866025
0.433013 0.250000 -0.866025
0.353553 0.353553 -0.866025
0.250000 0.433013 -0.866025
0.129410 0.482963 -0.866025
0.000000 0.500000 -0.866025
-0.129410 0.482963 -0.866025
-0.250000 0.433013 -0.866025
-0.353553 0.353553 -0.866025
-0.433013 0.250000 -0.866025
-0.482963 0.129410 -0.866025
-0.500000 0.000000 -0.866025
-0.482963 -0.129410 -0.866025
-0.433013 -0.250000 -0.866025
-0.353553 -0.353553 -0.866025
-0.250000 -0.433013 -0.866025
-0.129410 -0.482963 -0.866025
0.000000 -0.500000 -0.866025
0.129410 -0.482963 -0.866025
0.250000 -0.433013 -0.866025
0.353553 -0.353553 -0.866025
0.433013 -0.250000 -0.866025
0.482963 -0.129410 -0.866025
0.500000 0.000000 -0.866025
0.608761 0.000000 -0.793353
0.588018 0.157559 -0.793353
0.527203 0.304381 -0.793353
0.430459 0.430459 -0.793353
0.304381 0.527203 -0.793353
0.157559 0.588018 -0.793353
0.000000 0.608761 -0.793353
-0.157559 0.588018 -0.793353
-0.304381 0.527203 -0.793353
-0.430459 0.430459 -0.793353
-0.527203 0.304381 -0.793353
-0.588018 0.157559 -0.793353
-0.608761 0.000000 -0.793353
-0.588018 -0.157559 -0.793353
-0.527203 -0.304381 -0.793353
-0.430459 -0.430459 -0.793353
-0.304381 -0.527203 -0.793353
-0.157559 -0.588018 -0.793353
0.000000 -0.608761 -0.793353
0.157559 -0.588018 -0.793353
0.304381 -0.527203 -0.793353
0.430459 -0.430459 -0.793353
0.527203 -0.304381 -0.793353
0.588018 -0.157559 -0.793353
0.608761 0.000000 -0.793353
0.707107 0.000000 -0.707107
0.683013 0.183013 -0.707107
0.612372 0.353553 -0.707107
0.500000 0.500000 -0.707107
0.353553 0.612372 -0.707107
0.183013 0.683013 -0.707107
0.000000 0.707107 -0.707107
-0.183013 0.683013 -0.707107
-0.353553 0.612372 -0.707107
-0.500000 0.500000 -0.707107
-0.612372 0.353553 -0.707107
-0.683013 0.183013 -0.707107
-0.707107 0.000000 -0.707107
-0.683013 -0.183013 -0.707107
-0.612372 -0.353553 -0.707107
-0.500000 -0.500000 -0.707107
-0.353553 -0.612372 -0.707107
-0.183013 -0.683013 -0.707107
0.000000 -0.707107 -0.707107
0.183013 -0.683013 -0.707107
0.353553 -0.612372 -0.707107
0.500000 -0.500000 -0.707107
0.612372 -0.353553 -0.707107
0.683013 -0.183013 -0.707107
0.707107 0.000000 -0.707107
0.793353 0.000000 -0.608761
0.766320 0.205335 -0.608761
0.687064 0.396677 -0.608761
0.560986 0.560986 -0.608761
0.396677 0.687064 -0.608761
0.205335 0.766320 -0.608761
0.000000 0.793353 -0.608761
-0.205335 0.766320 -0.608761
-0.396677 0.687064 -0.608761
-0.560986 0.560986 -0.608761
-0.687064 0.396677 -0.608761
-0.766320 0.205335 -0.608761
-0.793353 0.000000 -0.608761
-0.766320 -0.205335 -0.608761
-0.687064 -0.396677 -0.608761
-0.560986 -0.560986 -0.608761
-0.396677 -0.687064 -0.608761
-0.205335 -0.766320 -0.608761
0.000000 -0.793353 -0.608761
0.205335 -0.766320 -0.608761
0.396677 -0.687064 -0.608761
0.560986 -0.560986 -0.608761
0.687064 -0.396677 -0.608761
0.766320 -0.205335 -0.608761
0.793353 0.000000 -0.608761
0.866025 0.000000 -0.500000
0.836516 0.224144 -0.500000
0.750000 0.433013 -0.500000
0.612372 0.612372 -0.500000
0.433013 0.750000 -0.500000
0.224144 0.836516 -0.500000
0.000000 0.866025 -0.500000
-0.224144 0.836516 -0.500000
-0.433013 0.750000 -0.500000
-0.612372 0.612372 -0.500000
-0.750000 0.433013 -0.500000
-0.836516 0.224144 -0.500000
-0.866025 0.000000 -0.500000
-0.836516 -0.224144 -0.500000
-0.750000 -0.433013 -0.500000
-0.612372 -0.612372 -0.500000
-0.433013 -0.750000 -0.500000
-0.224144 -0.836516 -0.500000
0.000000 -0.866025 -0.500000
0.224144 -0.836516 -0.500000
0.433013 -0.750000 -0.500000
0.612372 -0.612372 -0.500000
0.750000 -0.433013 -0.500000
0.836516 -0.224144 -0.500000
0.866025 0.000000 -0.500000
0.923880 0.000000 -0.382683
0.892399 0.239118 -0.382683
0.800103 0.461940 -0.382683
0.653281 0.653281 -0.382683
0.461940 0.800103 -0.382683
0.239118 0.892399 -0.382683
0.000000 0.923880 -0.382683
-0.239118 0.892399 -0.382683
-0.461940 0.800103 -0.382683
-0.653281 0.653281 -0.382683
