# Thought I would celebrate finishing this thing.
# CAGD CS668 - Bezier tensor product surface lab
# by Greg Heflin - March 3rd 1991
# Toast!
4 4
points[20][20] =
0.900000 0.000000 1.000000
0.851236 0.292230 1.000000
0.710226 0.552791 1.000000
0.492253 0.753450 1.000000
0.220937 0.872460 1.000000
-0.074321 0.896926 1.000000
-0.361526 0.824196 1.000000
-0.609553 0.662152 1.000000
-0.791526 0.428353 1.000000
-0.887725 0.148135 1.000000
-0.887725 -0.148135 1.000000
-0.791526 -0.428353 1.000000
-0.609553 -0.662152 1.000000
-0.361526 -0.824196 1.000000
-0.074321 -0.896926 1.000000
0.220937 -0.872460 1.000000
0.492253 -0.753450 1.000000
0.710226 -0.552791 1.000000
0.851236 -0.292230 1.000000
0.900000 0.000000 1.000000
0.900000 0.000000 0.910000
0.851236 0.292230 0.910000
0.710226 0.552791 0.910000
0.492253 0.753450 0.910000
0.220937 0.872460 0.910000
-0.074321 0.896926 0.910000
-0.361526 0.824196 0.910000
-0.609553 0.662152 0.910000
-0.791526 0.428353 0.910000
-0.887725 0.148135 0.910000
-0.887725 -0.148135 0.910000
-0.791526 -0.428353 0.910000
-0.609553 -0.662152 0.910000
-0.361526 -0.824196 0.910000
-0.074321 -0.896926 0.910000
0.220937 -0.872460 0.910000
0.492253 -0.753450 0.910000
0.710226 -0.552791 0.910000
0.851236 -0.292230 0.910000
0.900000 0.000000 0.910000
0.900000 0.000000 0.820000
0.851236 0.292230 0.820000
0.710226 0.552791 0.820000
0.492253 0.753450 0.820000
0.220937 0.872460 0.820000
-0.074321 0.896926 0.820000
-0.361526 0.824196 0.820000
-0.609553 0.662152 0.820000
-0.791526 0.428353 0.820000
-0.887725 0.148135 0.820000
-0.887725 -0.148135 0.820000
-0.791526 -0.428353 0.820000
-0.609553 -0.662152 0.820000
-0.361526 -0.824196 0.820000
-0.074321 -0.896926 0.820000
0.220937 -0.872460 0.820000
0.492253 -0.753450 0.820000
0.710226 -0.552791 0.820000
0.851236 -0.292230 0.820000
0.900000 0.000000 0.820000
0.900000 0.000000 0.730000
0.851236 0.292230 0.730000
0.710226 0.552791 0.730000
0.492253 0.753450 0.730000
0.220937 0.872460 0.730000
-0.074321 0.896926 0.730000
-0.361526 0.824196 0.730000
-0.609553 0.662152 0.730000
-0.791526 0.428353 0.730000
-0.887725 0.148135 0.730000
-0.887725 -0.148135 0.730000
-0.791526 -0.428353 0.730000
-0.609553 -0.662152 0.730000
-0.361526 -0.824196 0.730000
-0.074321 -0.896926 0.730000
0.220937 -0.872460 0.730000
0.492253 -0.753450 0.730000
0.710226 -0.552791 0.730000
0.851236 -0.292230 0.730000
0.900000 0.000000 0.730000
0.900000 0.000000 0.640000
0.851236 0.292230 0.640000
0.710226 0.552791 0.640000
0.492253 0.753450 0.640000
0.220937 0.872460 0.640000
-0.074321 0.896926 0.640000
-0.361526 0.824196 0.640000
-0.609553 0.662152 0.640000
-0.791526 0.428353 0.640000
-0.887725 0.148135 0.640000
-0.887725 -0.148135 0.640000
-0.791526 -0.428353 0.640000
